bid_mapping_id,equipment_type_code,bid_item_id,item_no,bid_item_name,unit,match_basis,mapping_status,blocks_m2,blocks_m4,review_reason
BIDMAP-001,PARK_LPR_CAMERA,BID-0460,壹.二.15.2.1-0,產品，步道、道路及停車場附屬設施，車牌辨識攝影機組(含車牌鏡頭、輔助光源),組,標單名稱含車牌辨識攝影機組,candidate,false,false,需確認是否含補光與安裝
BIDMAP-002,PARK_TICKET_MACHINE,BID-0462,壹.二.15.2.3-0,產品，步道、道路及停車場附屬設施，入口出票機暨感應式讀卡機,座,標單名稱含入口出票機與讀卡機,candidate,false,false,需確認與門禁讀卡機是否分流
BIDMAP-003,PARK_TICKET_MACHINE,BID-0463,壹.二.15.2.4-0,產品，步道、道路及停車場附屬設施，出口驗票機暨感應式讀卡機,座,標單名稱含出口驗票機與讀卡機,candidate,false,false,需確認入口出口設備型式
BIDMAP-004,ACS_CARD_READER,BID-0467,壹.二.15.2.8-0,產品，門禁管制設備，周邊設備，晶片閱讀機,台,標單名稱含門禁管制設備與晶片閱讀機,candidate,false,false,需確認是停車系統或建築門禁
BIDMAP-005,PARK_SIGN_DISPLAY,BID-0468,壹.二.15.2.9-0,產品，門禁管制設備，周邊設備，金額顯示器,台,標單名稱含顯示器,candidate,false,false,需確認顯示內容與停車收費系統關係
BIDMAP-006,PARK_SIGN_DISPLAY,BID-0470,壹.二.15.2.11-0,產品，門禁管制設備，周邊設備，車位計數盤-壁掛式,台,標單名稱含車位計數盤,candidate,false,false,需確認壁掛位置與訊號來源
BIDMAP-007,BMS_WORKSTATION,BID-0471,壹.二.15.2.12-0,產品，門禁管制設備，周邊設備，中央主控暨車牌辨識電腦(含營運管理軟體及車牌辨識軟體),台,標單名稱含中央主控與車牌辨識電腦,candidate,false,false,需確認歸類為停車主機或 BMS 工作站
BIDMAP-008,PARK_PAYMENT_MACHINE,BID-0472,壹.二.15.2.13-0,產品，門禁管制設備，周邊設備，全自動繳費機(具多卡通支付功能),台,標單名稱含全自動繳費機,candidate,false,false,需確認支付與發票介面
BIDMAP-009,PARK_LOOP_DETECTOR,BID-0474,壹.二.15.2.15-0,產品，中央監視主控制設備，周邊設備，車輛偵測器,台,標單名稱含車輛偵測器,candidate,false,false,需確認是車位偵測或車道偵測
BIDMAP-010,LAN_SWITCH,BID-0475,壹.二.15.2.16-0,產品，交換式網路集線器，24埠L2高速網路交換器,台,標單名稱含網路交換器,candidate,false,false,需確認管理等級與 PoE
BIDMAP-011,PARK_LOOP_DETECTOR,BID-0478,壹.二.15.2.19-0,產品，中央監視主控制設備，不斷電系統，3kVA,台,停車設備周邊 UPS,candidate,false,false,需確認 UPS 是否應獨立 equipment_type
BIDMAP-012,ACS_CARD_READER,BID-0479,壹.二.15.2.20-0,產品，步道、道路及停車場附屬設施，e-Tag長距離感應式讀卡機(含控制器及支架),台,標單名稱含 e-Tag 長距離感應式讀卡機,candidate,false,false,需確認車道讀卡與門禁讀卡分流
BIDMAP-013,LAN_SWITCH,BID-0487,壹.二.15.2.28-0,產品，步道、道路及停車場附屬設施，通訊解碼介面卡(置於中央主控電腦內),張,標單名稱含通訊解碼介面卡,candidate,false,false,需確認是否為停車主機附屬
BIDMAP-014,TEST_INSTALL,BID-0495,壹.二.15.2.36-0,室內配線、配電線路裝修技術工，設備安裝、調整、測試工資,式,標單名稱含設備安裝調整測試工資,candidate,true,false,工資類不對應 CAD 圖塊
BIDMAP-015,TEST_TRAINING_DOC,BID-0494,壹.二.15.2.35-0,操作及維護，教育訓練及文件費,式,標單名稱含教育訓練及文件費,candidate,true,false,文件費不對應 CAD 圖塊
BIDMAP-016,CCTV_VMS_NVR,BID-0525,壹.二.15.4.3-0,產品，中央監視主控制設備，周邊設備，影像處理軟體(置於車位在席管理電腦內),套,標單名稱含影像處理軟體,candidate,false,false,需確認是否為車位在席系統或 CCTV VMS
BIDMAP-017,CCTV_VMS_NVR,BID-0526,壹.二.15.4.4-0,產品，中央監視主控制設備，周邊設備，智慧尋車管理軟體(置於智慧尋車管理電腦內),套,標單名稱含智慧尋車管理軟體,candidate,false,false,需確認是否對應影像辨識或尋車系統
BIDMAP-018,BMS_WORKSTATION,BID-0527,壹.二.15.4.5-0,產品，中央監視主控制設備，周邊設備，智慧尋車管理電腦,台,標單名稱含智慧尋車管理電腦,candidate,false,false,需確認是否為停車系統工作站
